track_name,track_id,album_name,album_id,album_release_date,popularity,artist_names,artist_ids
Intro,52Hq1nvCDDZ17dhgGWLnCI,KOD,4Wv5UAieM1LDEYVq5WmqDd,2018-04-20,45,J. Cole,6l3HvQ5sa6mXTsMTB19rO5
Kno The Meaning,2depzNvnAgMFKYnm3moXIc,DS2 (Deluxe),0fUy6IdLHDpGNwavIlhEsl,2015-07-17,56,Future,1RyvyyTE3xzB2ZywiAwp0i
Kingdom,3gILDObZFV7LD5pmjSr9zo,Kingdom,0x4hB9vx14nmKhnI3br9wh,2016-08-23,67,Downstait,4g6EnIPhmYBTZ7vsmxDkxH
Running Around (feat. Fousheé),7ltvxs2OBCccy0p7Ka4PIj,Bando Stone and The New World,4yUqNSK6jMi7Y6eWl03U5r,2024-07-19,48,"Childish Gambino, Fousheé","73sIBHcqh3Z3NyqHKZ7FOL, 6trIghKwHRUyxwvm66HLHH"
We Are God,50YZAls4cS1sZxvWxCTh3y,Bando Stone and The New World,4yUqNSK6jMi7Y6eWl03U5r,2024-07-19,43,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL
Cruisin' (feat. Yeat),1CJO1NdPdtnkJBrEx6As65,Bando Stone and The New World,4yUqNSK6jMi7Y6eWl03U5r,2024-07-19,53,"Childish Gambino, Yeat","73sIBHcqh3Z3NyqHKZ7FOL, 3qiHUAX7zY4Qnjx8TNUzVx"
No Excuses (feat. Ludwig Göransson & Kamasi Washington),61wsDs3Dbb11h1m2tw9eMZ,Bando Stone and The New World,4yUqNSK6jMi7Y6eWl03U5r,2024-07-19,52,"Childish Gambino, Ludwig Göransson, Kamasi Washington","73sIBHcqh3Z3NyqHKZ7FOL, 24eDfi2MSYo3A87hCcgpIL, 6HQYnRM4OzToCYPpVBInuU"
Can You Feel Me (feat. Legend),6FQlvBbMADksaic1zeLnm7,Bando Stone and The New World,4yUqNSK6jMi7Y6eWl03U5r,2024-07-19,46,"Childish Gambino, Legend","73sIBHcqh3Z3NyqHKZ7FOL, 7qaLl5PeymRQi8Dn0GlQWp"
Yoshinoya,2pNYM3OcS7WdCW13TuhMeK,Bando Stone and The New World,4yUqNSK6jMi7Y6eWl03U5r,2024-07-19,55,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL
In The Night (feat. Jorja Smith & Amaarae),11bJ1ws3dathgY9uzADUhL,Bando Stone and The New World,4yUqNSK6jMi7Y6eWl03U5r,2024-07-19,60,"Childish Gambino, Jorja Smith, Amaarae","73sIBHcqh3Z3NyqHKZ7FOL, 1CoZyIx7UvdxT5c8UkMzHd, 21UPYSRWFKwtqvSAnFnSvS"
Real Love,17L09JJ5W7F5ou68mcAeMJ,Bando Stone and The New World,4yUqNSK6jMi7Y6eWl03U5r,2024-07-19,54,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL
